Full Name,Overall,Potential,Value(in Euro),Age
Lionel Messi,91,91,54000000,35
Karim Benzema,91,91,64000000,34
Robert Lewandowski,91,91,84000000,33
Kevin De Bruyne,91,91,107500000,31
Kylian Mbappé,91,95,190500000,23
Mohamed Salah,90,90,115500000,30
Thibaut Courtois,90,91,90000000,30
Manuel Neuer,90,90,13500000,36
C. Ronaldo dos Santos Aveiro,90,90,41000000,37
Virgil van Dijk,90,90,98000000,30
Harry Kane,89,89,105500000,28
Neymar da Silva Santos Jr.,89,89,99500000,30
Heung Min Son,89,89,101000000,29
Carlos Henrique Venancio Casimiro,89,89,86000000,30
Jan Oblak,89,91,85500000,29
Sadio Mané,89,89,99500000,30
Ederson Santana de Moraes,89,91,88000000,28
Joshua Kimmich,89,90,105500000,27
Alisson Ramses Becker,89,90,79000000,29
N'Golo Kanté,89,89,72000000,31
Rúben Santos Gato Alves Dias,88,91,107500000,25
Erling Haaland,88,94,148000000,21
Gianluigi Donnarumma,88,92,103500000,23
Bernardo Mota Carvalho e Silva,88,88,97500000,27
João Pedro Cavaco Cancelo,88,88,82500000,28
Marcos Aoás Corrêa,88,90,92000000,28
Keylor Navas,88,88,10000000,35
Marc-André ter Stegen,88,89,68500000,30
Toni Kroos,88,88,72000000,32
Luka Modrić,88,88,29000000,36
Antonio Rüdiger,87,88,73500000,29
Rodrigo Hernández Cascante,87,89,88500000,26
Fábio Henrique Tavares,87,88,77000000,28
Hugo Lloris,87,87,9000000,35
Thomas Müller,87,87,63000000,32
David De Gea Quintana,87,87,42000000,31
Marco Verratti,87,87,77500000,29
Mike Maignan,87,90,80000000,26
Trent Alexander-Arnold,87,90,100500000,23
Andrew Robertson,87,87,72000000,28
Kalidou Koulibaly,87,87,54500000,31
Leon Goretzka,87,88,91000000,27
Frenkie de Jong,87,92,116500000,25
Thiago Alcântara,86,86,55500000,31
Ciro Immobile,86,86,55000000,32
Romelu Lukaku,86,86,68000000,29
David Alaba,86,86,55500000,30
Raheem Sterling,86,86,72500000,27
Riyad Mahrez,86,86,56500000,31
Paulo Dybala,86,86,69500000,28
Thiago Emiliano da Silva,86,86,12000000,37
Wojciech Szczęsny,86,86,33500000,32
Kevin Trapp,86,86,36000000,31
Bruno Miguel Borges Fernandes,86,86,72500000,27
Daniel Parejo Muñoz,86,86,42000000,33
Aymeric Laporte,86,87,64500000,28
Kingsley Coman,86,87,80000000,26
Marcelo Brozović,86,86,58000000,29
Nicolò Barella,86,89,89500000,25
Lautaro Martínez,86,90,98500000,24
Milan Škriniar,86,87,68500000,27
Christopher Nkunku,86,89,94000000,24
Édouard Mendy,86,87,51000000,30
Vinícius José de Oliveira Júnior,86,92,109000000,21
Sergej Milinković-Savić,86,87,77500000,27
Niklas Süle,85,87,59000000,26
Nabil Fekir,85,85,54500000,28
Serge Gnabry,85,85,59000000,26
İlkay Gündoğan,85,85,44000000,31
Kyle Walker,85,85,37500000,32
