Full Name,Overall,Potential,Value(in Euro),Age,Height(in cm),Weight(in kg),Pace Total,Shooting Total,Dribbling Total
Lionel Messi,91,91,54000000,35,169,67,81,89,94
Karim Benzema,91,91,64000000,34,185,81,80,88,87
Robert Lewandowski,91,91,84000000,33,185,81,75,91,86
Kevin De Bruyne,91,91,107500000,31,181,70,74,88,87
Kylian Mbappé,91,95,190500000,23,182,73,97,89,92
Mohamed Salah,90,90,115500000,30,175,71,90,89,90
Thibaut Courtois,90,91,90000000,30,199,96,84,89,90
Manuel Neuer,90,90,13500000,36,193,93,87,88,88
C. Ronaldo dos Santos Aveiro,90,90,41000000,37,187,83,81,92,85
Virgil van Dijk,90,90,98000000,30,193,92,81,60,72
Harry Kane,89,89,105500000,28,188,89,68,91,82
Neymar da Silva Santos Jr.,89,89,99500000,30,175,68,87,83,93
Heung Min Son,89,89,101000000,29,183,78,88,89,86
Carlos Henrique Venancio Casimiro,89,89,86000000,30,185,84,63,73,72
Jan Oblak,89,91,85500000,29,188,87,86,90,89
Sadio Mané,89,89,99500000,30,174,69,90,83,88
Ederson Santana de Moraes,89,91,88000000,28,188,86,87,82,88
Joshua Kimmich,89,90,105500000,27,177,75,68,72,84
Alisson Ramses Becker,89,90,79000000,29,191,91,86,85,89
N'Golo Kanté,89,89,72000000,31,168,70,72,66,81
Rúben Santos Gato Alves Dias,88,91,107500000,25,187,82,63,39,68
Erling Haaland,88,94,148000000,21,195,94,89,91,80
Gianluigi Donnarumma,88,92,103500000,23,196,90,90,83,89
Bernardo Mota Carvalho e Silva,88,88,97500000,27,173,64,77,78,92
João Pedro Cavaco Cancelo,88,88,82500000,28,182,74,85,73,85
Marcos Aoás Corrêa,88,90,92000000,28,183,75,79,56,74
Keylor Navas,88,88,10000000,35,185,80,89,84,89
Marc-André ter Stegen,88,89,68500000,30,187,85,86,85,90
Toni Kroos,88,88,72000000,32,183,76,53,81,81
Luka Modric,88,88,29000000,36,172,66,73,76,88
Antonio Rüdiger,87,88,73500000,29,190,85,82,53,67
Rodrigo Hernández Cascante,87,89,88500000,26,191,82,58,72,79
Fábio Henrique Tavares,87,88,77000000,28,188,78,66,69,77
Hugo Lloris,87,87,9000000,35,188,82,88,83,88
Thomas Müller,87,87,63000000,32,185,76,69,84,80
David De Gea Quintana,87,87,42000000,31,192,76,88,80,89
Marco Verratti,87,87,77500000,29,165,60,60,61,91
Mike Maignan,87,90,80000000,26,191,89,85,82,89
Trent Alexander-Arnold,87,90,100500000,23,180,69,76,69,80
Andrew Robertson,87,87,72000000,28,178,64,80,61,81
Kalidou Koulibaly,87,87,54500000,31,187,89,82,33,68
Leon Goretzka,87,88,91000000,27,189,82,78,82,83
Frenkie de Jong,87,92,116500000,25,180,74,82,69,87
Thiago Alcântara,86,86,55500000,31,174,70,61,72,90
Ciro Immobile,86,86,55000000,32,185,85,85,87,80
Romelu Lukaku,86,86,68000000,29,191,94,80,85,77
David Alaba,86,86,55500000,30,180,78,79,71,80
Raheem Sterling,86,86,72500000,27,170,69,90,80,86
Riyad Mahrez,86,86,56500000,31,179,67,80,83,90
Paulo Dybala,86,86,69500000,28,177,75,80,85,90
Thiago Emiliano da Silva,86,86,12000000,37,183,79,49,54,72
Wojciech Szczesny,86,86,33500000,32,195,90,86,81,87
Kevin Trapp,86,86,36000000,31,189,84,84,82,87
Bruno Miguel Borges Fernandes,86,86,72500000,27,179,69,72,86,81
Daniel Parejo Muñoz,86,86,42000000,33,182,74,50,83,80
Aymeric Laporte,86,87,64500000,28,191,85,61,50,69
Kingsley Coman,86,87,80000000,26,179,75,92,77,87
Marcelo Brozovic,86,86,58000000,29,181,68,69,74,81
Nicolò Barella,86,89,89500000,25,172,68,79,76,84
Lautaro Martínez,86,90,98500000,24,174,72,83,83,85
Milan kriniar,86,87,68500000,27,188,80,78,41,69
Christopher Nkunku,86,89,94000000,24,175,73,88,81,88
Édouard Mendy,86,87,51000000,30,197,86,84,82,88
Vinícius José de Oliveira Júnior,86,92,109000000,21,176,73,95,79,90
Sergej Milinkovic-Savic,86,87,77500000,27,191,76,68,80,82
Niklas Süle,85,87,59000000,26,195,99,71,48,59
Nabil Fekir,85,85,54500000,28,173,75,83,82,87
Serge Gnabry,85,85,59000000,26,176,77,82,84,85
Ilkay Gündogan,85,85,44000000,31,180,80,64,80,85
Kyle Walker,85,85,37500000,32,183,83,91,63,78
Pierre-Emerick Aubameyang,85,85,34500000,33,187,80,87,84,79
Jordi Alba Ramos,85,85,28000000,33,170,68,84,70,82
Sergio Busquets Burgos,85,85,26500000,33,189,76,42,62,79
Iago Aspas Juncal,85,85,26000000,34,176,67,82,85,86
Paul Pogba,85,85,52500000,29,191,84,67,80,85
Memphis Depay,85,85,55000000,28,176,78,83,84,86
Luiz Frello Filho Jorge,85,85,51500000,30,180,68,54,67,81
Marcos Acuña,85,85,46500000,30,172,69,76,74,87
Gerard Moreno Balagueró,85,85,53000000,30,180,77,78,86,83
Yannick Carrasco,85,85,54500000,28,181,73,89,82,87
Filip Kostic,85,85,53000000,29,184,84,84,78,82
Jamie Vardy,85,85,23000000,35,179,74,84,84,79
Pedro González López,85,93,116000000,19,174,61,79,67,87
Phil Foden,85,92,109500000,22,171,69,82,78,88
Matthijs de Ligt,85,89,71000000,22,189,89,75,59,69
Patrik Schick,85,87,67500000,26,191,86,78,83,83
Theo Hernández,85,90,76000000,24,184,81,93,72,81
Diogo José Teixeira da Silva,85,89,76000000,25,178,73,85,83,85
Péter Gulácsi,85,85,26500000,32,191,86,85,84,85
Yann Sommer,85,85,17500000,33,183,79,78,81,90
Marco Reus,85,85,33500000,33,180,71,70,84,85
Lucas Hernández,84,86,46000000,26,184,79,77,54,71
Sergio Ramos García,84,84,7500000,36,184,82,61,69,70
Alejandro Gómez,84,84,20000000,34,167,68,86,78,85
Samir Handanovic,84,84,4700000,37,193,92,80,80,85
Dries Mertens,84,84,18000000,35,169,61,78,82,87
Luis Suárez,84,84,18000000,35,182,86,70,86,78
Duan Tadic,84,84,26500000,33,181,76,68,81,84
Domenico Berardi,84,84,45000000,27,183,72,82,81,86
Thomas Partey,84,84,36000000,29,185,77,65,71,80
Yassine Bounou,84,84,22500000,31,192,78,84,81,86
Hakan Çalhanoglu,84,84,42000000,28,178,76,67,80,86
Mateo Kovacic,84,84,42000000,28,176,80,70,69,88
Jack Grealish,84,84,46000000,26,180,81,76,76,87
Daniel Carvajal Ramos,84,84,36500000,30,173,73,82,54,80
Stefan Savic,84,84,29000000,31,187,80,64,35,58
Emiliano Martínez,84,84,29000000,29,195,88,85,83,85
Raphaël Varane,84,85,39000000,29,191,81,81,49,66
Wissam Ben Yedder,84,84,35500000,31,170,68,81,84,88
Lorenzo Insigne,84,84,35000000,31,163,59,84,78,89
Mats Hummels,84,84,20000000,33,191,94,53,59,72
Stefan de Vrij,84,84,34500000,30,189,78,68,41,69
Joel Matip,84,84,34500000,30,194,90,61,46,71
Koen Casteels,84,85,31500000,30,197,86,84,82,86
Sergio Canales Madrazo,84,84,35000000,31,176,65,83,79,82
Iker Muniain Goñi,84,84,41500000,29,170,66,81,77,87
Kieran Trippier,84,84,30500000,31,173,71,70,64,77
Leonardo Bonucci,84,84,11000000,35,190,85,54,59,71
Ángel Di María,84,84,20000000,34,180,69,79,79,87
Eden Hazard,84,84,35000000,31,175,74,83,80,87
Ivan Periic,84,84,26500000,33,186,80,78,81,82
Edin Deko,84,84,14500000,36,193,80,63,84,77
Giorgio Chiellini,84,84,7500000,37,187,85,65,46,58
Rodrigo Javier De Paul,84,84,42000000,28,180,70,78,77,82
Jude Bellingham,84,91,81500000,19,186,75,75,75,84
Federico Chiesa,84,90,66500000,24,175,70,91,81,86
Moussa Diaby,84,88,61500000,22,171,67,93,73,87
Jamie Tartt,84,91,85500000,24,178,84,83,87,85
Rafael da Conceição Leão,84,90,66500000,23,188,81,91,77,86
Jules Koundé,84,89,57500000,23,181,75,84,45,74
Youri Tielemans,84,86,52500000,25,176,72,56,80,81
Sandro Tonali,84,90,62500000,22,181,79,81,73,79
Luis Díaz,84,87,56000000,25,180,73,91,80,87
Éder Gabriel Militão,84,89,57500000,24,186,78,86,50,72
Federico Valverde,84,90,66000000,23,182,78,87,74,79
Leroy Sané,84,85,49500000,26,183,80,88,81,85
Reece James,84,88,57000000,22,178,87,81,70,82
Alessandro Bastoni,84,90,60500000,23,190,75,73,35,71
Kai Havertz,84,91,84500000,23,189,82,81,79,84
